article,person,death_date,date_source,wd_precision,country,in_registry,decision,reason
Killing_of_Andy_Lopez,Andy Lopez,2013-10-22,wikidata,day,United States,True,include,"in range (2013-10-22, wikidata)"
Murder_of_Renisha_McBride,Renisha McBride,2013-11-02,wikidata,day,United States,False,include,"in range (2013-11-02, wikidata)"
Killing_of_James_Boyd,James Boyd,2014-03-16,wikidata,day,United States,False,include,"in range (2014-03-16, wikidata)"
Killing_of_Alex_Nieto,Alex Nieto,2014-03-21,wikidata,day,,False,include,"in range (2014-03-21, wikidata)"
Killing_of_Alfred_Redwine,Alfred Redwine,2014-03-25,wikidata,day,United States,True,include,"in range (2014-03-25, wikidata)"
Killing_of_Dontre_Hamilton,Dontre Hamilton,2014-04-30,wikidata,day,United States,True,include,"in range (2014-04-30, wikidata)"
Killing_of_Eric_Harris,Eric Harris,2014-06-15,registry,none,,True,include,"in range (2014-06-15, registry)"
Killing_of_Eric_Garner,Eric Garner,2014-07-17,wikidata,day,United States,True,include,"in range (2014-07-17, wikidata)"
Killing_of_John_Crawford_III,John Crawford III,2014-08-05,wikidata,day,United States,False,include,"in range (2014-08-05, wikidata)"
Killing_of_Michael_Brown,Michael Brown,2014-08-09,wikidata,day,United States,True,include,"in range (2014-08-09, wikidata)"
Killing_of_Ezell_Ford,Ezell Ford,2014-08-11,wikidata,day,United States,True,include,"in range (2014-08-11, wikidata)"
Murder_of_Laquan_McDonald,Laquan McDonald,2014-10-20,wikidata,day,United States,True,include,"in range (2014-10-20, wikidata)"
Killing_of_Akai_Gurley,Akai Gurley,2014-11-20,wikidata,day,United States,True,include,"in range (2014-11-20, wikidata)"
Killing_of_Tamir_Rice,Tamir Rice,2014-11-22,wikidata,day,United States,False,include,"in range (2014-11-22, wikidata)"
Killing_of_Antonio_Martin,Antonio Martin,2014-12-23,wikidata,day,United States,True,include,"in range (2014-12-23, wikidata)"
Death_of_Natasha_McKenna,Natasha McKenna,2015-02-08,wikidata,day,,True,include,"in range (2015-02-08, wikidata)"
Killing_of_Antonio_Zambrano-Montes,Antonio Zambrano-Montes,2015-02-10,wikidata,day,,True,include,"in range (2015-02-10, wikidata)"
Killing_of_Charley_Leundeu_Keunang,Charley Leundeu Keunang,2015-03-01,wikidata,day,United States,False,include,"in range (2015-03-01, wikidata)"
Killing_of_Tony_Robinson,Tony Robinson,2015-03-06,wikidata,day,United States,False,include,"in range (2015-03-06, wikidata)"
Killing_of_Anthony_Hill,Anthony Hill,2015-03-09,wikidata,day,United States,True,include,"in range (2015-03-09, wikidata)"
Killing_of_Meagan_Hockaday,Meagan Hockaday,2015-03-27,registry,none,,True,include,"in range (2015-03-27, registry)"
Killing_of_Walter_Scott,Walter Scott,2015-04-04,wikidata,day,United States,True,include,"in range (2015-04-04, wikidata)"
Killing_of_Freddie_Gray,Freddie Gray,2015-04-12,wikidata,day,United States,True,include,"in range (2015-04-12, wikidata)"
Death_of_Jonathan_Sanders,Jonathan Sanders,2015-07-08,wikidata,day,,True,include,"in range (2015-07-08, wikidata)"
Death_of_Sandra_Bland,Sandra Bland,2015-07-13,wikidata,day,United States,False,include,"in range (2015-07-13, wikidata)"
Killing_of_Samuel_DuBose,Samuel DuBose,2015-07-19,wikidata,day,United States,False,include,"in range (2015-07-19, wikidata)"
Killing_of_Zachary_Hammond,Zachary Hammond,2015-07-26,wikidata,day,United States,True,include,"in range (2015-07-26, wikidata)"
Killing_of_Jeremy_McDole,Jeremy McDole,2015-09-23,wikidata,day,,True,include,"in range (2015-09-23, wikidata)"
Killing_of_Corey_Jones,Corey Jones,2015-10-18,wikidata,day,United States,True,include,"in range (2015-10-18, wikidata)"
Killing_of_Jamar_Clark,Jamar Clark,2015-11-15,wikidata,day,United States,True,include,"in range (2015-11-15, wikidata)"
Shooting_of_Daniel_Shaver,Daniel Shaver,2016-01-18,wikidata,day,United States,False,include,"in range (2016-01-18, wikidata)"
Killing_of_Dylan_Noble,Dylan Noble,2016-06-25,registry,none,,True,include,"in range (2016-06-25, registry)"
Killing_of_Alton_Sterling,Alton Sterling,2016-07-05,wikidata,day,United States,True,include,"in range (2016-07-05, wikidata)"
Killing_of_Philando_Castile,Philando Castile,2016-07-06,wikidata,day,United States,True,include,"in range (2016-07-06, wikidata)"
Micah_Xavier_Johnson,Micah Xavier Johnson,2016-07-08,wikidata,day,,True,include,"in range (2016-07-08, wikidata)"
Killing_of_Joseph_Mann,Joseph Mann,2016-07-11,registry,none,,True,include,"in range (2016-07-11, registry)"
Shooting_of_Charles_Kinsey,Charles Kinsey,2016-07-18,wikidata,day,United States,False,include,"in range (2016-07-18, wikidata)"
Killing_of_Korryn_Gaines,Korryn Gaines,2016-08-01,wikidata,day,United States,True,include,"in range (2016-08-01, wikidata)"
Killing_of_Tony_Timpa,Tony Timpa,2016-08-10,wikidata,day,,True,include,"in range (2016-08-10, wikidata)"
