name,article,date,views
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-07,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-09,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-10,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-11,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-12,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-13,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-15,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-16,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-17,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-18,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-19,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-20,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-21,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-22,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-23,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-24,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-25,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-26,25
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-27,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-28,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-29,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-07-30,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-01,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-02,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-04,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-05,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-06,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-07,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-08,3
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-09,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-10,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-11,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-12,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-13,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-14,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-15,9
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-16,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-17,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-18,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-19,4
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-20,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-21,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-22,0
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-23,1
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-24,8
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-25,8
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-26,647
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-27,1269
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-28,8
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-29,5
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-30,7
Breonna Taylor,Killing_of_Breonna_Taylor,2020-08-31,6
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-01,7
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-02,2
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-03,9
Breonna Taylor,Killing_of_Breonna_Taylor,2020-09-04,4
