article,n_titles,canonical_views,all_titles_views,gain,titles
Killing_of_Randolph_Evans,5,2109,111185,52.72,Killing_of_Randolph_Evans | Randolph_evans | Randolph_Evans | Death_of_Randolph_Evans | Shooting_of_Randolph_Evans
Killing_of_Rayshard_Brooks,7,1323185,1354211,1.02,"Killing_of_Rayshard_Brooks | Rayshard_Brooks | Rayshard | Brooks,_Rayshard | Death_of_Rayshard_Brooks | Shooting_of_Rayshard_Brooks | Rashard_Brooks"
Killing_of_Ricky_Cobb_II,2,16142,16377,1.01,Killing_of_Ricky_Cobb_II | Death_of_Ricky_Cobb_II
Killing_of_Ronald_Greene,4,24713,111073,4.49,Killing_of_Ronald_Greene | Ronald_Greene | Murder_of_Ronald_Greene | Death_of_Ronald_Greene
Killing_of_Samuel_DuBose,7,39356,613430,15.59,Killing_of_Samuel_DuBose | Samuel_DuBose | Death_of_Samuel_DuBose | Samuel_Vincent_DuBose | Sam_Dubose | Sam_DuBose | Shooting_of_Samuel_DuBose
Killing_of_Sayed_Faisal,1,0,1381,,Shooting_of_Sayed_Faisal
Killing_of_Sean_Bell,8,48457,1292831,26.68,Killing_of_Sean_Bell | Nicole_Paultre_Bell | Nicole_Paultre-Bell | Sean_Bell_Shooting_Incident | Sean_Bell_case | Sean_Bell_shooting | Sean_Bell_shooting_incident | Shooting_of_Sean_Bell
Killing_of_Sean_Monterrosa,3,1784,129730,72.72,Killing_of_Sean_Monterrosa | Sean_Monterrosa | Shooting_of_Sean_Monterrosa
Killing_of_Tamir_Rice,4,882779,5373550,6.09,Killing_of_Tamir_Rice | Tamir_Rice | Tamir_E._Rice | Shooting_of_Tamir_Rice
Killing_of_Terence_Crutcher,6,16526,624863,37.81,Killing_of_Terence_Crutcher | Terence_Crutcher | Terence_crutcher | Terrence_Crutcher | Crutcher_shooting | Shooting_of_Terence_Crutcher
Killing_of_Tony_McDade,5,21981,210242,9.56,Killing_of_Tony_McDade | Draft:Shooting_of_Tony_McDade | Tony_McDade | Natosha_McDade | Shooting_of_Tony_McDade
