date,article,views
2015-08-10,Daniel_Prude,0.0
2015-08-10,Death_of_Anthony_Baez,0.0
2015-08-10,Death_of_Michael_Stewart,67.0
2015-08-10,Killing_of_Akai_Gurley,0.0
2015-08-10,Killing_of_Amadou_Diallo,0.0
2015-08-10,Killing_of_Daniel_Prude,0.0
2015-08-10,Killing_of_Deborah_Danner,0.0
2015-08-10,Killing_of_Gidone_Busch,0.0
2015-08-10,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-08-10,Killing_of_Randolph_Evans,0.0
2015-08-10,Killing_of_Sean_Bell,0.0
2015-08-11,Daniel_Prude,0.0
2015-08-11,Death_of_Anthony_Baez,0.0
2015-08-11,Death_of_Michael_Stewart,36.0
2015-08-11,Killing_of_Akai_Gurley,0.0
2015-08-11,Killing_of_Amadou_Diallo,0.0
2015-08-11,Killing_of_Daniel_Prude,0.0
2015-08-11,Killing_of_Deborah_Danner,0.0
2015-08-11,Killing_of_Gidone_Busch,0.0
2015-08-11,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-08-11,Killing_of_Randolph_Evans,0.0
2015-08-11,Killing_of_Sean_Bell,0.0
2015-08-12,Daniel_Prude,0.0
2015-08-12,Death_of_Anthony_Baez,0.0
2015-08-12,Death_of_Michael_Stewart,41.0
2015-08-12,Killing_of_Akai_Gurley,0.0
2015-08-12,Killing_of_Amadou_Diallo,0.0
2015-08-12,Killing_of_Daniel_Prude,0.0
2015-08-12,Killing_of_Deborah_Danner,0.0
2015-08-12,Killing_of_Gidone_Busch,0.0
2015-08-12,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-08-12,Killing_of_Randolph_Evans,0.0
2015-08-12,Killing_of_Sean_Bell,0.0
2015-08-13,Daniel_Prude,0.0
2015-08-13,Death_of_Anthony_Baez,0.0
2015-08-13,Death_of_Michael_Stewart,45.0
2015-08-13,Killing_of_Akai_Gurley,0.0
2015-08-13,Killing_of_Amadou_Diallo,0.0
2015-08-13,Killing_of_Daniel_Prude,0.0
2015-08-13,Killing_of_Deborah_Danner,0.0
2015-08-13,Killing_of_Gidone_Busch,0.0
2015-08-13,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-08-13,Killing_of_Randolph_Evans,0.0
2015-08-13,Killing_of_Sean_Bell,0.0
2015-08-14,Daniel_Prude,0.0
2015-08-14,Death_of_Anthony_Baez,0.0
2015-08-14,Death_of_Michael_Stewart,62.0
2015-08-14,Killing_of_Akai_Gurley,0.0
2015-08-14,Killing_of_Amadou_Diallo,0.0
2015-08-14,Killing_of_Daniel_Prude,0.0
2015-08-14,Killing_of_Deborah_Danner,0.0
2015-08-14,Killing_of_Gidone_Busch,0.0
2015-08-14,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-08-14,Killing_of_Randolph_Evans,0.0
2015-08-14,Killing_of_Sean_Bell,0.0
2015-08-15,Daniel_Prude,0.0
2015-08-15,Death_of_Anthony_Baez,0.0
2015-08-15,Death_of_Michael_Stewart,43.0
2015-08-15,Killing_of_Akai_Gurley,0.0
2015-08-15,Killing_of_Amadou_Diallo,0.0
2015-08-15,Killing_of_Daniel_Prude,0.0
2015-08-15,Killing_of_Deborah_Danner,0.0
2015-08-15,Killing_of_Gidone_Busch,0.0
2015-08-15,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-08-15,Killing_of_Randolph_Evans,0.0
2015-08-15,Killing_of_Sean_Bell,0.0
2015-08-16,Daniel_Prude,0.0
2015-08-16,Death_of_Anthony_Baez,0.0
2015-08-16,Death_of_Michael_Stewart,43.0
2015-08-16,Killing_of_Akai_Gurley,0.0
2015-08-16,Killing_of_Amadou_Diallo,0.0
2015-08-16,Killing_of_Daniel_Prude,0.0
2015-08-16,Killing_of_Deborah_Danner,0.0
2015-08-16,Killing_of_Gidone_Busch,0.0
2015-08-16,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-08-16,Killing_of_Randolph_Evans,0.0
2015-08-16,Killing_of_Sean_Bell,0.0
2015-08-17,Daniel_Prude,0.0
2015-08-17,Death_of_Anthony_Baez,0.0
2015-08-17,Death_of_Michael_Stewart,42.0
2015-08-17,Killing_of_Akai_Gurley,0.0
2015-08-17,Killing_of_Amadou_Diallo,0.0
2015-08-17,Killing_of_Daniel_Prude,0.0
2015-08-17,Killing_of_Deborah_Danner,0.0
2015-08-17,Killing_of_Gidone_Busch,0.0
2015-08-17,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-08-17,Killing_of_Randolph_Evans,0.0
2015-08-17,Killing_of_Sean_Bell,0.0
2015-08-18,Daniel_Prude,0.0
2015-08-18,Death_of_Anthony_Baez,0.0
2015-08-18,Death_of_Michael_Stewart,82.0
2015-08-18,Killing_of_Akai_Gurley,0.0
2015-08-18,Killing_of_Amadou_Diallo,0.0
2015-08-18,Killing_of_Daniel_Prude,0.0
2015-08-18,Killing_of_Deborah_Danner,0.0
